T,M,W
0,5,5
1,9,6
2,10,8
3,12,10
4,16,8
5,23,12
6,31,11
7,40,9
8,52,11
9,71,11
10,88,10
11,104,10
12,124,10
13,143,8
14,166,12
15,191,11
16,214,12
17,237,12
18,263,11
19,287,12
20,310,10
21,337,10
22,356,7
23,382,6
24,409,5
25,431,5
26,453,5
27,482,6
28,503,6
29,523,6
30,539,6
31,554,7
32,559,7
33,559,6
34,560,6
35,562,6
36,563,6
37,563,6
38,564,6
39,563,6
40,561,6
41,561,6
42,562,6
43,563,6
44,562,6
45,561,6
46,563,6
47,565,6
48,564,6
49,565,6
50,567,6
51,568,6
52,567,6
53,565,6
54,563,7
55,563,8
56,560,8
57,557,8
58,556,8
59,554,9
60,556,10
61,557,10
62,554,10
63,553,11
64,551,12
65,548,12
66,545,11
67,542,11
68,541,11
69,544,12
70,545,13
71,547,11
72,545,10
73,546,11
74,548,11
75,549,12
76,546,13
77,545,13
78,543,13
79,542,14
80,543,14
81,544,14
82,545,14
83,546,13
84,545,13
85,546,13
86,546,15
87,542,15
88,538,16
89,535,16
90,532,18
91,527,21
92,519,21
93,517,22
94,516,21
95,517,20
96,517,21
97,517,21
98,513,20
99,509,19
100,511,19
101,510,18
102,510,17
103,511,20
104,510,19
105,511,20
106,514,20
107,514,18
108,516,19
109,520,20
110,522,21
111,519,22
112,522,22
113,524,22
114,522,24
115,522,23
116,523,24
117,519,24
118,516,24
119,513,25
120,516,27
121,520,26
122,520,25
123,517,25
124,512,24
125,502,25
126,494,29
127,494,32
128,494,33
129,488,33
130,482,33
131,475,32
132,467,33
133,462,34
134,456,35
135,451,38
136,441,41
137,436,41
138,432,44
139,424,44
140,422,49
141,415,50
142,408,53
143,401,55
144,398,52
145,392,57
146,384,50
147,386,49
148,386,59
149,382,58
150,374,61
151,364,62
152,363,58
153,360,59
154,355,63
155,347,59
156,343,59
157,334,61
158,327,54
159,322,53
160,319,53
