T,M,W
0,5,5
1,4,7
2,7,12
3,8,15
4,8,17
5,9,18
6,10,16
7,10,16
8,14,16
9,16,14
10,19,17
11,22,16
12,27,18
13,31,17
14,39,16
15,44,16
16,47,16
17,56,15
18,64,16
19,71,17
20,75,15
21,77,15
22,82,15
23,84,15
24,83,18
25,83,18
26,90,23
27,91,25
28,96,24
29,93,22
30,95,20
31,94,21
32,94,23
33,91,24
34,94,25
35,95,29
36,102,32
37,105,36
38,106,38
39,110,41
40,122,41
