T,M,W
0,5,5
1,3,7
2,3,11
3,4,14
4,4,15
5,6,15
6,6,15
7,6,16
8,6,17
9,6,13
10,6,15
11,9,14
12,9,13
13,10,15
14,11,13
15,11,13
16,12,14
17,14,13
18,17,13
19,16,10
20,13,8
21,10,7
22,10,7
23,11,7
24,11,9
25,10,9
26,8,10
27,5,10
28,5,12
29,6,15
30,5,16
31,3,18
32,3,17
33,1,18
34,1,19
35,1,17
36,1,16
37,0,14
38,0,15
39,0,14
40,0,16
