T,M,W
0,20,5
1,25,5
2,26,6
3,31,8
4,37,11
5,38,13
6,50,16
7,53,17
8,58,18
9,64,21
10,70,23
11,71,27
12,66,26
13,66,31
14,73,34
15,78,38
16,76,42
17,71,43
18,71,52
19,64,55
20,65,64
21,68,70
22,66,74
23,68,79
24,66,83
25,72,92
26,70,97
27,67,103
28,61,101
29,61,106
30,61,108
31,54,118
32,54,120
33,49,126
34,48,129
35,42,128
36,37,135
37,35,130
38,26,147
39,20,143
40,19,161
41,15,165
42,14,163
43,14,170
44,10,175
45,7,185
46,3,186
47,3,202
48,3,199
49,0,204
50,0,211
51,0,210
52,0,216
53,0,213
54,0,213
55,0,213
56,0,218
57,0,228
58,0,232
59,0,236
60,0,228
61,0,234
62,0,235
63,0,235
64,0,229
65,0,225
66,0,229
67,0,232
68,0,241
69,0,243
70,0,241
71,0,239
72,0,246
73,0,244
74,0,245
75,0,241
76,0,240
77,0,243
78,0,253
79,0,253
80,0,252
