T,M,W
0,10,5
1,10,5
2,11,6
3,14,8
4,16,7
5,17,6
6,20,6
7,21,6
8,26,5
9,31,6
10,37,3
11,40,2
12,43,2
13,50,2
14,57,2
15,65,2
16,72,2
17,81,2
18,95,2
19,104,2
20,115,2
