T,M,W
0,4,4
1,6,5
2,4,6
3,4,8
4,5,7
5,5,6
6,5,6
7,5,4
8,5,4
9,8,5
10,8,3
11,11,3
12,15,3
13,17,1
14,23,1
15,24,1
16,26,1
17,30,1
18,35,1
19,38,1
20,42,1
