T,M,W
0,10,5
1,8,5
2,11,7
3,13,9
4,12,12
5,13,15
6,13,15
7,16,15
8,12,14
9,9,16
10,9,15
11,9,16
12,9,20
13,6,20
14,4,19
15,2,17
16,0,22
17,0,24
18,0,20
19,0,24
20,0,25
